new_label,source,original_label,original_name
533,cortical,533,7Networks_RH_Vis_33
534,cortical,534,7Networks_RH_Vis_34
535,cortical,535,7Networks_RH_Vis_35
536,cortical,536,7Networks_RH_Vis_36
537,cortical,537,7Networks_RH_Vis_37
538,cortical,538,7Networks_RH_Vis_38
539,cortical,539,7Networks_RH_Vis_39
540,cortical,540,7Networks_RH_Vis_40
541,cortical,541,7Networks_RH_Vis_41
542,cortical,542,7Networks_RH_Vis_42
543,cortical,543,7Networks_RH_Vis_43
544,cortical,544,7Networks_RH_Vis_44
545,cortical,545,7Networks_RH_Vis_45
546,cortical,546,7Networks_RH_Vis_46
547,cortical,547,7Networks_RH_Vis_47
548,cortical,548,7Networks_RH_Vis_48
549,cortical,549,7Networks_RH_Vis_49
